"slope" "angle" "top.layer3" "bot.layer3" "vs2" "vs3" "vs4" "density" "freq" "y.hat.Combined" "Quant.Combined" "LL.Combined" "UL.Combined" "y.hat.single" "LL.single" "UL.single" "y.hat.CGP" "LL.CGP" "UL.CGP" "y.true"
"105" -0.062270623518562 -0.558499403421853 -1.46071101997545 0.122550153541805 -0.972550487781144 1.07416372973896 -0.46356504798479 0.954435758311492 -1.19886538533414 6.70879310982037 0.526 1.08461534561816 12.2749864130372 9.14074066355611 6.21172551701124 12.069755810101 9.85987635702202 7.60376034642823 12.1159923676158 6.24400943795181
"107" -0.062270623518562 -1.47658061452627 -1.46071101997545 0.892498762181415 -0.965657122166223 -0.688239819919231 -0.822711570096392 -0.264823002944885 -1.19886538533414 6.19975193015866 0.509 0.519404914061205 12.0362850031807 6.47239321968118 3.55389358251373 9.39089285684863 4.60736257760346 1.55215300170306 7.66257215350386 6.15602852885314
"108" -0.062270623518562 -1.47658061452627 -1.46071101997545 -1.03237275941761 -0.979443853396065 -0.759019078941648 -0.982332246590437 0.954435758311492 -1.19886538533414 4.51839816731889 0.495 -0.89162022542915 9.90660501625524 7.47641830890105 3.92162789539893 11.0312087224032 9.16038673019417 5.87767760979684 12.4430958505915 6.61243080203906
"109" -0.062270623518562 1.27766301878698 -1.46071101997545 0.50752445786161 -1.04837750954528 0.667182990360062 -1.12865120004331 -0.874452383573074 1.00008066260082 3.393260984337 0.514 -2.00358093288376 9.2311566641913 1.15455318442691 -1.9351615093713 4.24426787822512 0.0832173569972348 -2.93111266674326 3.09754738073773 0.449245667017916
"113" -0.062270623518562 0.359581807682563 0.293896811826891 0.892498762181415 -1.29653867168244 -1.59421433540617 1.57824943883487 0.954435758311492 -0.465883369355819 4.77007096555629 0.536 -0.519809188080825 9.88147633962286 8.44114151024037 5.45681815038431 11.4254648700964 7.41282700046288 5.00056904849073 9.82508495243502 6.56571906628
"114" -0.062270623518562 0.359581807682563 0.293896811826891 -0.262424150778001 -1.31032540291228 -1.50220129867703 1.25900808584678 -0.874452383573074 0.267098646622499 6.13669614959398 0.531 0.326107745889354 11.9542760892524 6.42631710055301 3.31483712022549 9.53779708088053 4.71133858078805 1.68309953443848 7.73957762713761 7.3047171101316
"116" -0.062270623518562 1.27766301878698 0.293896811826891 -1.41734706373742 -1.30343203729736 -0.139700562495496 0.687033995076454 0.344806377683303 0.267098646622499 5.10025322134437 0.538 -0.528401922171579 11.023986869339 5.27343795875464 -0.182577932249753 10.729453849759 4.78138824238144 1.29485264908366 8.26792383567922 3.73265731912186
"121" -0.062270623518562 -1.47658061452627 0.293896811826891 -1.03237275941761 -1.26207184360783 -0.907655522888725 -0.45026332494362 0.344806377683303 -1.19886538533414 8.97078501410469 0.499 4.02995082658117 14.0027814799477 7.95766868339223 4.38544010497521 11.5298972618093 11.1329422428547 7.63198299309627 14.6339014926132 14.6996252364395
"122" -0.062270623518562 -1.47658061452627 0.293896811826891 1.27747306650122 -1.27585857483767 -0.882882782230879 -0.636487447520006 -0.264823002944885 -0.465883369355819 7.32112376549604 0.505 1.97623907039915 12.6208838704125 5.76372820006383 0.121680148875259 11.4057762512524 4.62372557423927 1.23796138195408 8.00948976652446 2.57553526624734
"123" -0.062270623518562 -0.558499403421853 0.293896811826891 0.122550153541805 -1.25517847799291 0.989228618912062 -0.809409847055222 -1.48408176420126 -1.19886538533414 8.54735650885609 0.489 2.87394558739717 13.5763826218302 9.09052992844915 6.18254783200518 11.9985120248931 10.7372143750502 9.17115856856846 12.303270181532 8.49517159835302
"124" -0.062270623518562 -0.558499403421853 0.293896811826891 0.50752445786161 -1.26896520922275 0.748579138235842 -0.969030523549267 1.56406513893968 -1.19886538533414 5.62825966101587 0.493 -0.0368671888806174 11.448451615914 6.12695444717956 3.54790168784081 8.70600720651832 7.91487333089904 5.7054364724499 10.1243101893482 6.85388260476834
"125" -0.062270623518562 0.359581807682563 0.293896811826891 -0.647398455097806 -1.33100549975704 -1.16246085536943 -1.12200033852273 -1.48408176420126 1.00008066260082 4.68934325467077 0.482 -1.13373788590546 10.4020019397627 2.95914912517054 -0.329797531128872 6.24809578146996 3.11247089295717 0.393122744944625 5.83181904096971 1.41654376390764
"127" -0.062270623518562 1.27766301878698 0.293896811826891 -1.03237275941761 -1.3172187685272 0.334520472954701 -1.38803479934614 0.344806377683303 1.00008066260082 2.57011396479296 0.484 -2.70517204020935 8.08849937427263 3.07668764713337 -2.01379406985614 8.16716936412288 3.42455745485626 0.619591199760025 6.22952370995249 3.74405835872465
"128" -0.062270623518562 1.27766301878698 0.293896811826891 1.27747306650122 -1.33789886537196 0.366371139514788 -1.51440116823726 -0.264823002944885 1.00008066260082 2.80843042140352 0.488 -2.75417541097748 9.24968117345 2.52139672758179 -3.18385958767737 8.22665304284095 0.843653031061124 -4.20920945767868 5.89651551980093 0.0949172668948546
"129" -0.062270623518562 -1.47658061452627 -0.290972465440554 -1.41734706373742 1.48838103674569 -0.72362944943044 1.59820202339663 0.344806377683303 0.267098646622499 4.56544667348593 0.501 -1.60043620573178 9.95180269412298 2.8564617737777 -1.45468224781183 7.16760579536724 6.42276684381707 2.22569802631304 10.6198356613211 2.52791553799345
"130" -0.062270623518562 -1.47658061452627 -0.290972465440554 0.892498762181415 1.44702084305616 -0.698856708772594 1.27896067040854 -0.264823002944885 0.267098646622499 4.55374471599535 0.516 -0.577041334426134 10.1866507497099 2.40395832148556 -0.0927391752864781 4.9006558182576 2.08269679896926 -0.725494091725432 4.89088768966396 2.23058428738241
"131" -0.062270623518562 -0.558499403421853 -0.290972465440554 -0.262424150778001 1.50906113359045 1.27234565500173 0.979671901982204 -1.48408176420126 -0.465883369355819 6.63386175504159 0.501 1.25639589399366 11.9401782032328 7.11261952273457 4.61301094831687 9.61222809715226 7.13251263924088 5.66320627671135 8.60181900177041 6.67828714805618
"132" -0.062270623518562 -0.558499403421853 -0.290972465440554 0.50752445786161 1.46770093990093 1.02107928547215 0.700335718117624 1.56406513893968 0.267098646622499 3.88463728511092 0.492 -1.98107017856745 9.80630717575355 3.28651418192241 1.54653373903354 5.02649462481128 2.96328438762522 0.022146480249158 5.90442229500129 3.6531746171916
"135" -0.062270623518562 1.27766301878698 -0.290972465440554 -1.03237275941761 1.35051372444727 0.585786842484282 -0.0312590491467505 0.344806377683303 1.73306267857914 2.51898851143453 0.467 -3.2797546079993 8.738273558442 1.91311918757682 -2.12941966688437 5.95565804203801 2.12943406607526 -1.74341777591473 6.00228590806525 0.801785880191137
"137" -0.062270623518562 0.359581807682563 -0.290972465440554 0.50752445786161 1.57110142412474 -1.44911685441022 -0.443612463423034 0.954435758311492 -1.19886538533414 4.33246706601743 0.495 -0.998410438009634 9.73692042475722 3.07828428519036 -0.120856179580241 6.27742474996096 3.68530508406661 0.546355920440676 6.82425424769254 2.54447843242299
"138" -0.062270623518562 0.359581807682563 -0.290972465440554 -0.262424150778001 1.52974123043522 -1.35356485472995 -0.629836585999421 -0.874452383573074 -0.465883369355819 3.8169780005743 0.511 -1.62308287925089 8.86461291634458 6.83932401618225 4.66776269097923 9.01088534138526 5.73140890789008 4.27004634236915 7.19277147341102 5.71170659614216
"139" -0.062270623518562 1.27766301878698 -0.290972465440554 0.892498762181415 1.59178152096951 0.171728177203141 -0.802758985534636 -0.874452383573074 -1.19886538533414 3.33167362737581 0.498 -1.49602567680312 8.01710212994671 1.32046002186036 -2.40993119256852 5.05085123628923 2.74793675886992 -0.618260358467055 6.1141338762069 0.882512751503273
"140" -0.062270623518562 1.27766301878698 -0.290972465440554 -1.41734706373742 1.55042132727998 0.0832541034251188 -0.962379662028682 0.344806377683303 -0.465883369355819 4.03159103062741 0.501 -1.53435347870872 10.4360266424166 4.4927994511535 -1.44603414593689 10.4316330482439 2.01077599399704 -2.21698973083267 6.23854171882675 6.47037755698952
"143" -0.062270623518562 -0.558499403421853 -0.290972465440554 0.122550153541805 1.4263407462114 1.67224846847839 -1.38138393782555 0.954435758311492 1.00008066260082 3.82910728696299 0.529 -1.45069100907582 9.55829539009726 3.46235921497581 -0.471662325011439 7.39638075496306 3.4691238753754 -0.914198321227802 7.8524460719786 0.0867400457194178
"147" -0.062270623518562 -1.47658061452627 1.46363536636178 2.04742167514083 0.902444959477396 -0.872265893377516 0.999624486543959 -0.874452383573074 -0.465883369355819 4.5812247558421 0.485 -1.65724658775611 10.6361942324415 6.0834972876795 1.94335530273565 10.2236392726233 6.89168972874304 2.90074191796678 10.8826375395193 4.03545694288107
"148" -0.062270623518562 -1.47658061452627 1.46363536636178 -1.03237275941761 0.867978131402791 -0.939506189448813 0.72028830267938 0.954435758311492 0.267098646622499 5.1066688716832 0.476 -0.544104588416216 10.6733619142201 4.40722884387919 0.493111577410308 8.32134611034807 6.8716126947515 4.80195810426947 8.94126728523354 5.34260309454109
"150" -0.062270623518562 1.27766301878698 1.46363536636178 -1.41734706373742 0.709430722259605 0.320364621150217 0.208171965594318 0.344806377683303 2.46604469455745 3.19292135102957 0.512 -1.99841477227668 8.63512100121658 2.84370709227631 -1.37521639451449 7.06263057906712 3.28875296857304 -1.30176033691405 7.87926627406013 0.98130303399399
"153" -0.062270623518562 1.27766301878698 1.46363536636178 -1.03237275941761 0.950698518781844 -0.125544710691013 -0.430310740381864 0.344806377683303 -1.19886538533414 4.58061627164869 0.502 -1.00976440254993 10.6378197236087 3.0265830202804 -1.10122690838945 7.15439294895026 6.46164375819238 2.92738504869349 9.99590246769127 6.70091605246083
